channelKey,displayName,groups,sourceFile,sourceRole,originalName,host,kind,durable,continuousUpdate,updateMode,signedExpireAt,youtubeVideoId,url
dwnews,DW News,YouTube國際新聞,sources/live-youtube-stable.txt,generated-youtube-hls,046 DW News,manifest.googlevideo.com,youtube-generated-hls,false,false,generated-short-lived,2026-06-22T21:49:29.000Z,LuKwFajn37U,"https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1782164969/ei/iVk5ari7ELD0pt8P9sOP4A4/ip/114.42.199.53/id/LuKwFajn37U.96/itag/94/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D135/rqh/1/hls_chunk_host/rr2---sn-ipoxu-umby.googlevideo.com/xpc/EgVo2aDSNQ%3D%3D/bui/ARmQxEVNJ0l0zH1xFjby-EjwXrYiTgsyEtjIuU3wgbX3DczA-0oWUWL6ObjX76_dCBI-HhIXXT2hPOY_/spc/SQ-umhmbY794n0rGwQKU0LTO3Imv-bYoS9_1JDA4ATDVkxrhxQ/vprv/1/reg/0/playlist_type/DVR/initcwndbps/2845000/met/1782143369,/mh/sz/mm/44/mn/sn-ipoxu-umby/ms/lva/mv/m/mvi/2/pcm2cms/yes/pl/24/rms/lva,lva/dover/11/pacing/0/keepalive/yes/fexp/51565116,51565681,51946837,51987687/mt/1782142835/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,sgoap,sgovp,rqh,xpc,bui,spc,vprv,reg,playlist_type/sig/AHEqNM4wRgIhAIUMmesifVpXAp7u4Vh_MMz9gk7Ymq-DgjK7P3Vrt3ycAiEArH3Z8LuEIP-nA0i8BFWvm-QQJDmjwCDZhyEFiYxIQeI%3D/lsparams/hls_chunk_host,initcwndbps,met,mh,mm,mn,ms,mv,mvi,pcm2cms,pl,rms/lsig/APaTxxMwRQIhAIvyzmuWt6J6ioOovB6VLEaWCydw0igLqkSrlC6PwApSAiBVqzfmJg8sQAUkA5Nnq0rGxM8_ww8NjmwRnOVmDozZPw%3D%3D/playlist/index.m3u8"
dw德國之聲,DW德國之聲,新聞頻道,sources/live-base.txt,durable-base-hls,DW德國之聲,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx1/1059/1eccd1ecfaef5a9a910953dba041167e/index.m3u8
dw德國之聲,DW德國之聲,新聞頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,DW德國之聲,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx1/1059/1eccd1ecfaef5a9a910953dba041167e/index.m3u8
e,E!,美國頻道,sources/live-base.txt,durable-base-hls,E!,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1222/617cbe5fc7e6a6594018804ed4b799dc/index.m3u8
e,E!,美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,E!,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx3/1222/617cbe5fc7e6a6594018804ed4b799dc/index.m3u8
e4,E4,英國頻道,sources/live-base.txt,durable-base-hls,E4,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1397/f18450e70fcff2d4d1ec7e06b0ad3802/index.m3u8
e4,E4,英國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,E4,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1397/f18450e70fcff2d4d1ec7e06b0ad3802/index.m3u8
earthtv,earthTV,YouTube音樂體育風景,sources/youtube-live-channels.csv,durable-youtube-page,earthTV,www.youtube.com,youtube-page,true,true,resolve-with-yt-dlp,,r1K7DyQn3jg,https://www.youtube.com/watch?v=r1K7DyQn3jg
ebskids,EBS KIDS,한국,sources/live-base.txt,durable-base-hls,EBS KIDS,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3007/024ca279704d26c4911d890bf1e4c287/index.m3u8
ebskids,EBS KIDS,한국,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,EBS KIDS,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx6/3007/024ca279704d26c4911d890bf1e4c287/index.m3u8
